date,review,rating,isEdited,userName,title,developerResponse,Country
2023-01-22 18:08:47,"My name is Thomas, I was a front line worker and had the second heart attack in my life. They put in a stent and it was back to fixing the pharmaceutical Robot that gives people meds in ERs and Urgent Cares. 9 months later my best friend from high school died and the opened my chest for a triple bypass. Soon after I bought my Apple Watch 8 for the heart apps. 

I found this stress app and with its warnings I have been able to pause and then put the thought into my conscious mind to relax. It does not work all the time, but like anything else, with a little practice it makes a difference. Every little bit does.

Thank you to the folks that made this happen!",5,False,Stress App a,Stress App,,US
2022-01-27 20:03:38,"I don’t understand it says it’s in the bad range like every day since I open this app. In addition it doesn’t track any of my exercise when I work out every day -but it says my workouts are zero or it has 2 of 14 days when my Apple Watch shows nine of 14 days with measurable exercise. So it’s confusing because every time I open up it says it’s in bad range like every time but then at the end of the day it says normal so I’m not sure is that an overall average of the whole day or is that one particular point in time.  Even on the analytics section, it has red and no green but I’m getting seven hours of sleep and I’m working out and my heart rate is always normal. I would not recommend specifically because when it says it’s in the ‘bad” or Extreme Stredd Red range or “pay attention” It could leave people scared or make them believe they need to go to the emergency room when they may not.",1,False,Marwalk2012,No tracking for daily workouts,"{'id': 27836702, 'body': 'Hi! We’re sorry, you are disappointed with the app. \nIf the exercises are not synced, we recommend checking that all requested accesses to Apple Health are provided. HRV reflects your stress at one particular point in time, the body feedback score - includes average HRV for today & today’s resting HR. \nPlease, contact us at dev@activeace.app and we’ll share the instructions for a refund. Best Wishes, Elena. ', 'modified': '2022-02-03T21:12:05Z'}",US
2022-08-06 07:48:24,"My cardiologist highly recommended this app after my sudden major heart attack and near impossible recovery in Apr 2022.(thank you soooooo very much hospital emergency room staff and life flight for saving my life). I knew my job and certain aspects in my life affected my stress and lead to my heart attack, but I didn’t know how bad until I got this app for my Apple Watch. It’s truly an eye opener into how much stress your body takes and how it affects your health. And the alerts I get thru my Apple Watch help in advising me to rest and or stop what I’m doing for a few minutes and de-stress. A MUST HAVE APP THAT MIGHT JUST SAVE YOUR LIFE. HIGHLY HIGHLY RECOMMEND.",5,False,Shelby360,Cardiologist recommended!!,,US
2023-01-16 21:01:12,"Great app. I’m finding it to be helpful in managing chronic fatigue syndrome. A challenge with ME/CFS is that fatigue episodes can not only be caused by physical exertion (eg walking, exercise, chores, shopping) but also by cognitive  exertion (eg working at my computer, reading, driving in heavy traffic, socializing). So while counting steps, etc is useful to staying within my limits, it’s not sufficient. The app gives alerts if I’m overdoing it, so I can react more quickly, stop, and take a rest break or do a breathing exercise.

I suggested enhancements that would allow users to add tags to the log for activities (eg walking, chores, shopping, driving, socializing) and symptoms (eg fatigue, headache, etc)",4,False,Retired Engineer MD,Helpful in managing chronic fatigue syndrome,,US
2022-11-07 00:41:27,"I have a heart condition, but I still need to perform duties for the family. I have had a really bad 3 weeks of readings with this app and another heart app I have. I love being able to look at the days stress levels, but when they are not good I ask, what now? I need the truth and your app gives me that and I will forever be grateful for bringing me to the truth. I just need to see what I can do besides resting in bed to have my levels normal and good. Thank you, perfect the algorithms and continue to get us to do things that will guide our health to a better healthy lifestyle. And we will do what is helpful like stretching, walking, and strengthening the body.",4,False,waymaker2157,What can I do to get good readings? I have,,US
2022-01-06 12:30:38,"This app has consumed so much of my time that it’s been a distraction throughout my life this past year. This app will actually cause more stress in an effort to keep a consistent log because many of the tools are measured manually using their features. Pulling the Health data is more efficient. Many other health-related apps have proven that. The team even gave the UI a facelift during my year-long sub, though there’s still much left to be desired. 
My advice is import the health data to avoid inconsistent measurements, because your app doesn’t provide accurate data, even after multiple attempts at using your tools. I have to run 4-5 ECG tests just to get an average reading. That’s about 5 minutes of fidgeting, observing, and scratching my head. I like many others have migrated to Welltory as a better alternative.",1,False,Emerson Grey,Year Long Subscriber 👎🏽,"{'id': 27495626, 'body': 'Hello, \nWe are sorry to hear, that you are disappointed with the app. We’re paying high attention to the feedback from our users and with every new release, we strive to make the app better. The app uses Apple Health data for monitoring stress, activity, and sleep. The manual measurements are additional to Apple Health data. Our team is very open to feedback from our users and we are always happy to clarify any question or concern. Please, always feel free to contact us at dev@activeace.app with any questions or suggestions. \nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-01-17T18:41:55Z'}",US
2023-05-30 16:28:31,"I have not found this app to be useful or accurate and I cannot get my money back. I tried but was rejected twice. 

Honestly, it has only interrupted me to say I’m stressed a couple of times. Both times I was feeling great. When I am actually stressed, it doesn’t seem to notice. 

Now when I bought this, I didn’t realize what it was. I figured I could use this to correlate my stress levels with activity or food or something. Figure out what caused the most stress and manage it. But that’s not really what this app does. When I figured that out (on literally day 1) I deleted it and asked for a refund on my Year Long subscription. I was rejected and then my appeal was rejected.  

I decided to make the best of it. I’ve tried to use this for what it’s meant for. However for whatever reason it just doesn’t seem to work. It tells me daily that my sleep is poor. Other than that, the reality check I need when I’m stressed doesn’t happen. It tells me to slow down and avoid new things when I’m engaged and excited, then tells me I’m normal when I’m stressed. This seems like a total waste of my money. So bummed they won’t give me my money back!",1,False,baimeeker,"Wanted to like it, now I’m stuck",,US
2022-12-04 20:36:06,"I have a multiple physical challenges, this app you have developed helps me throughout my day, when I get to busy doing my work, I forget about what it can be doing to my body. 
This app reminds me when I have drawn too much on my mental, emotional and physical frame.
I also have a heart app and when you give me a suggestion that I have drawn on myself to much I look at my heart, looking at my ECG, p-t, I find when I get a warning from your app, to check my heart and oftentimes everything thing in my heart rhythm is gone except the R wave and it’s only a millimeter high on the ECG app that I use.
This keeps me in check,
Thanks “eversomuch”, ( a new word I think should be put in the dictionary.)
You asked for a review, normally I would ignore such invitations, but because I have depended upon your app as a good warning sign for me, I would simply like to thank you!
Sincerely Mark James Foster",5,False,Teruf V,I would like too give your app a big thumbs👍up.,"{'id': 34068848, 'body': ""Hello Mark, thank you so much for taking the time to write a positive review! We're thrilled to hear that you're enjoying the app and finding it helpful. We're always working to improve the app and make it the best it can be, so if you have any suggestions or feedback, please don't hesitate to reach out to us. We appreciate your support and are glad you're enjoying the app.\n\nBest Wishes,\nStress Monitor Team"", 'modified': '2023-01-03T15:19:21Z'}",US
2023-04-07 02:05:33,"I loaded this app because it seemed cool, but it hadn’t mentioned it was a subscription. I wouldn’t have even bother loading it if I had known that from the start. I feel that they should mention it’s a subscription in the description.  I don’t mind that it is a subscription because they have to make their money. But I would’ve preferred to know before loading it, and going through a short sample, only to be completely stopped at the subscription.

That being said, I will never know if the app is as great as some of these reviews say, and it wasn’t even enough of a sample to entice me to pay $19 a month for a subscription.",3,False,Mamiejamie,I will never know,"{'id': 36163243, 'body': ""Hi! Thank you for sharing your thoughts with us. We're sorry to hear that our app hasn't met your expectations. We suggest giving our Stress Monitor App a try on the Apple Watch. It's free and comes with a Stress Monitor Watch Face and notifications on your stress level. If you have any other questions, please don't hesitate to reach out.\xa0\n\nBest Wishes,\nStress Monitor Team"", 'modified': '2023-04-25T13:32:40Z'}",US
2020-10-23 22:39:25,"I was never sure what is the Breathe app on my Apple Watch and how can I use it. I didn’t know that during the breath session it stores a lot of the HRV information that can be used even for the stress level prediction and that is great! You will get the most benefit of the Stress Radar app when you use it for at least a few months and try to log as much as possible that on your mind. Also, you train the model and make predictions more accurate. It’s good to analyze the history of your stress levels and know the dependencies.

Great app! Highly recommend!",5,False,Maksim-S,For Apple Watch users,"{'id': 19006287, 'body': ""Hi Maksim-S,\nThank you for taking the time to leave the feedback! It's really important for us to hear what our users like or want to see in the next releases.\nWe're happy to hear that our app is your go-to partner in monitoring your daily stress. Our team continues to work and new exciting features become available with every new release.\n\nThank you for staying with us and feel free to contact us with any ideas at dev@activeace.app\n\nWarm wishes, \nElena"", 'modified': '2020-11-10T03:05:06Z'}",US
2022-08-22 16:38:46,"I recently had a heart issue partly due to overworking and stress.  As I would ignore my body signals when I was getting overloaded, I now have another source of data that creates this visibility which validates how I am feeling.  When Pay Attention hits I then step back from work, go for a walk, meditate - essentially take a break.  It’s allowing me to have a healthier relationship with work and with my body.  My husband is using it too.  We have great conversations around this.  Thank you for this tool.  It’s helping!",5,False,Deb in Amsterdam,Helps me change my habits,,US
2023-05-19 13:17:08,"I've used this app daily for several months now and the info from it (my average HRV across the day) has helped me make a lot of positive changes to improve my HRV and thus my overall health. I didn't need the upgrades that come with the paid version, so I didn't opt in. The newest update - ""a technical update to make your experience with our app even better"", per the description in the app store  - has zero functionality unless you sign up for a 7-day trial after which you'll be charged for a yearlong subscription. There's no way to use the app for its most basic function anymore.👎",3,False,Rerunicus,Only free for 7 days with new update,,US
2022-01-21 19:38:09,"I was really hoping the app was going to work. First you really do not get much data before the app requires you to pay. This should be shared up front! I paid for the app and am extremely dissatisfied. The app does like synch throughout the day. The only way it synchs is if you start the breath app and then turn your phone off and then back on for the app to synch the data. I do not have time throughout the day to do this multiple times. Yesterday the app synched my data twice and I forced it to synch by using the breath app. For an app that says the work is done behind the scenes there is a lot of synching being done by the user. Read some of the other reviews…they say similar things about the app. 

I will definitely not renew. I feel like I got scammed!!!",1,False,Rooksmom,Not Worth the Money,"{'id': 27609568, 'body': 'Hello, we are sorry to hear you are disappointed with the app. Write us at dev@activeace.app and we’ll share the instructions for refund. \nBest Wishes, \nElena from Stress Monitor team', 'modified': '2022-01-23T18:25:03Z'}",US
2023-05-06 10:31:26,"I started using this app last year in an attempt to better understand my stress and to manage it. What I have found over the past months is a better understanding of what triggers my stress. Surprisingly most of the time it’s everyday things, things that I don’t have any control over, but how I react to them has a huge bearing on my health. Thank you for creating this app, I feel it has been very helpful.",5,False,Strangbuglady,Very insightful.,,US
2022-12-13 13:48:06,"I was very impressed by the accuracy of the app at first. Then suddenly it stopped working completely. I tried waiting a few hours in the morning and even doing the Breathe app and Heart Rate app to see if it would pick it up, but it shows literally no statistics anymore other than heart rate which I already had. I wasted $40 since it doesn’t work. I have an Apple Watch Series 2 and it seems to work fine (even though it’s old) so I don’t know what is wrong. If there is something else I need to do to fix my issue, I gladly will.",4,False,rjtekyejtwkuraiu q,App stopped working after a week,"{'id': 33780852, 'body': 'Hi! We are sorry you’ve faced that. We recommend restarting your Apple Watch. Please, contact us at dev@activeace.app providing the iOS and WatchOS versions and we’ll do our best to help. \n\nBest Wishes,\nStress Monitor Team', 'modified': '2022-12-17T22:20:01Z'}",US
2022-04-16 15:16:59,"Comparing to other apps, for example Heart&Stress, that you pay a one-time $4, this subscription is not worthy. $39 a year and poor insights: just activity goal / trend and sleep track and quality (which I use another app). Poor UI/UX. I paid because there was no way to progress in the app and see other functionality. I completely regret and I wish they have a refund policy, but they don’t! So I don’t recommend pay to the subscription and I don’t think you will be able to use this app on the free version (at least, I was no able to do this). If there is something worthy on the subscription that I can’t see, please let me know! And if there is a way to use this app on a free version, let me know as well.",1,False,lcnunes09,It’s not worthy the subscription,"{'id': 29230771, 'body': 'Hi! We are sorry to hear you are disappointed with the app. \nPlease, contact us at dev@activeace.app and I’ll share the instructions for a refund. \n\nStress Monitor App is free for all our users on the Apple Watch. Also, you can use our Stress Monitor complication for Watch Face for free, including the notifications on your stress level.\n\nWe appreciate your feedback and strive to make the app better with every new release.\n\nBest Wishes, \nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-04-18T10:37:00Z'}",US
2023-01-27 03:43:04,"This app is pretty solid. It’s a decent price for the annual option and it’s user friendly. I like that it charts my progress throughout the day and over time. Whenever I feel stressed, I check it and sure enough I’ll be in the red. One days where I’m feeling great, I’ll check it and see that I’m in the green. Very accurate for the most part and great if you deal with anything from clinical anxiety to work stress. The app also offers options to help calm yourself down and makes lifestyle recommendations for you to consider as well.",4,False,TraceyEllen,Pretty accurate.,,US
2023-03-29 17:46:30,"I am using this app daily. It provides good feedback through the day and alerts me on my watch when my body starts reacting to stress. I bought it as it says you can do family sharing; however, it wouldn’t let my daughter who is on my family sharing join without requiring her to purchase subscription also.  I contacted app email multiple times with NO success.  They either send a form about family sharing which I already did or just didn’t respond. The app is good. The support is horrible.",4,False,Readnwright,Great app,,US
2023-03-27 23:26:36,"I like this app! It validates my anxiety so people can’t say “it’s all in your head”. It’s also helped me to realize just how much anxiety I fight with on a regular basis, and what times of the day it’s especially high. 

Some suggestions I have to make this app even better would be:

1. To have some sort of message saying “it takes the app x amount of time to get an average reading”. It took me some time to figure out that the Pay Attention and Overload notification were because I really was a ball of anxiety and not just skewed because it’s a new app.
 
2. I would love it if the app could to send more suggestions for when I hit Pay Attention or Overload. Yes, hydration, sleep, diet, and emotions contribute to anxiety, but maybe changing the app from the generic “pay attention” to something like, “have you had any water lately?” Or “let’s take a walk!”",4,False,EverMe83,I like this but want a bit more,,US
2022-01-02 00:43:23,"On the surface this app seems helpful. This app does not use your actual HRV. Every HRV measurement by this app is off by a factor of 50%.
For example, your HRV reading is 50 but this app will read it as 25. This app needs to use the HRV number provided by the watch. It should not be dividing the actual HRV by 50%. 
This app has had plenty of time during beta testing to squash this bug. There have been plenty of updates to address this issue.
I do expect this app to be updated to read correctly. The next step is getting this app permanently removed from the App Store.
Attention DEVs: an Apple Watch can successfully take a HRV measurement. Program your app to take that number as it is . It’s that simple.",1,False,Raziel44,Do Not Trust this app to use your actual HRV,"{'id': 27228470, 'body': ""Hi, thank you for the feedback. I'll be glad to clarify your concerns.\n\nHRV can be computed in many different ways. The most widely used HRV metrics are SDNN and rMSSD. Based on many pieces of research, and common practice in the science community and according to our own experience, the HRV rMSSD is considered the most widely used and reliable for short-term measurements of nervous system response. \n\nFor this reason, our app calculates your HRV using rMSSD. \nThe HRV in Apple Health is SDNN HRV. This is why you see the different numbers. Unfortunately, in both cases, the results are named just HRV. And it may cause confusion.\n\nPlease, feel free to contact us at dev@activeace.app if you have any other questions about the app or something left unclear. I’ll be very happy to clarify this to make sure you get the best value from using the app.\n\nBest Wishes, \nElena Strok\nFounder of Stress Monitor app"", 'modified': '2022-01-04T11:19:19Z'}",US
2022-08-26 22:15:40,I am using the app for almost a year and can say that it’s very accurate. For days when I feel tired or sick it shows extremely low numbers that indicates high stress and I am not planning any intensive activities or workouts. It also helps me to monitor my sleep and makes suggestions about the best workout for the day and corresponding timing to close my move ring. Recommend the app and cheers to the developers!,5,False,strokstil,Great app for everyday use!,,US
2022-09-29 00:05:35,I just discovered this app yesterday and really like it. I like how I can see patterns in my stress level and validating when I feel stressed that it is really registering as so. It is perfectly matching up to when I thought I was in a stressful situation which sadly seems very much correlated to time in or doing work. It is helping me recognize the pattern to try to address from a mindfulness and improvement perspective. Thank you.,5,False,Quality Geek,Stress Monitor App,,US
2021-09-24 06:29:56,"This app has been right on target. I have been extremely stressed due to some issues at work, home life,, health issues,family and friends. I have a heart condition (usually)  under control. The app has been dead on with times that I knew I was so stressed out and could feel my heart rate was high, and the app picked it right up!!!! I love that is tracks everything. Enjoying and happy with!",5,False,H&H66,Love!! 💔,"{'id': 25442946, 'body': 'Hello, Thank you a lot for such great feedback! It means a lot to us. \nWe are happy that Stress Monitor helps you monitor your mental and physical stress and manage it to feel better. Our team is continuously working on the app to make it better for you and bring even more value to all our users. Please, always feel free to contact us if you have any other questions or suggestions about the app. Warm Wishes, Elena from Stress Monitor Team', 'modified': '2021-10-01T15:00:23Z'}",US
2021-09-02 11:44:00,"I was excited about this app. Someone explained to me that by getting the data throughout the day, there are moments where we may or not experience stress regardless if it is physical or psychological. Sounds great. 

Don’t get too caught up in the numbers. This app is a general well being for your attention. If you feel that you have a real problem, talk to your doctor. Otherwise, this app is cool!",5,False,Macmelody,Monitoring Stress,"{'id': 24941876, 'body': 'Hi! Thank you for such great detailed feedback! We are happy to hear, that you find the app helpful in monitoring your general well-being. We are grateful for the feedback that our uses share with us and always take it into account while panning next releases to make the app better for you! Please, always feel free to contact us if you have any other questions. \n\nWarm Wishes, Elena from Stress Monitor Team', 'modified': '2021-09-06T15:26:03Z'}",US
2021-09-06 04:24:20,"I love what the app has to offer. I’m going to spend some time with the app and see what it fully has to offer. I struggle with identifying my feelings and I would love to find out if with these tools available I can struggle less with knowing how I feel in the moment. I suppose the app starts off with 5 stars, will update before I decide if I’d pay or not.",5,False,Larrygizzle,Search could be over?,"{'id': 24967470, 'body': ""Hi! Thank you a lot for using our app. We also hope that our app is exactly what are you looking for and it will help to understand your feelings and how your body is responding to stress. If you have any questions or suggestions you can always contact us at dev@ActiveAce.app and we'll do our best to make your experience and experience for all our users even better.\n\nBest Wishes,\nMaksim from Stress Monitor Team"", 'modified': '2021-09-07T20:24:50Z'}",US
2023-01-14 02:48:52,"I don’t understand how this app works. For the day I’ll show “overload” but then when it checks my stress level through out the day I’m “normal” or “great.” Which is it? There are also times I’m sitting, doing absolutely nothing except watching an enjoyable TV show or reading a book and I’ll get an “overload” notification. Really?!? Maybe it’s predicting how I’m going to feel when I get the darn notification, because it’s starting to frustrate me. This could be a better app if it made sense.",3,False,Pavas50,I’m confused,,US
2023-04-26 16:11:28,"My hair was falling out and I started experiencing anxiety and heart palpitations for the first time in my life. (I am 68). This app gave me warning of being overloaded , even while I was sleeping. I paid little attention to my feelings and tried to push through these episodes. 

Well. Anxiety and heart palpitations are two of the many signs of hyperthyroidism and this app helped my Dr figure it out.",5,False,debrasnell,Helped diagnose hyperthyroidism!,,US
2023-05-12 20:03:04,"I have persistent anxiety but got so used to just pushing threw it, only to end up  with physical symptoms that were frightening. This app has really helped me with managing it at a more consistent and functional level.  The Pay Attention and Overload feature alert me that my body is experiencing stress so I can adjust what I’m doing more quickly and avoid the melt downs.",5,False,extwentyseven,App review,,US
2023-03-24 12:36:22,"Constantly getting annoying messages that tell me I haven’t exercised in two weeks when I exercise just about every day.  I record it on my Apple watch but this app does not reflect it. Super disappointing as this was a $40 dollar app and I this basic sync should work. Have looked at all the settings on the app and as it seems to monitor everything else reasonably well doesn’t make sense that it can’t track this.  I also was disappointed that there is a big delay in how it reports stress, an hour later is not much help.",1,False,Peace Builder,Does not accurately track exercise and disappointing stress monitoring,,US
2023-02-11 18:57:59,"I’ve been using the app for about a month and find it quite helpful. I’ve just retired, and some of the health issues I dealt with during the final few years of working have advanced. The app provides me with an alert whenever stress is high. I am beginning to notice the symptoms of stress even before the alert hits my watch. The thing is, with stress sources from pain, it’s quite difficult to eliminate or minimize the pain source.",4,False,Tbowden4,Helpful,,US
2023-04-18 14:44:14,"The premise and layout of this app look pretty interesting but after getting it all set up, the free version gives you almost no information. It is very bare bones and lackluster. There is no way to try the premium version before committing. No free trial or discounted price to try it out for the first time. No preview. Just a screen with a random score and a big button at the bottom to subscribe. One month is $20 and one year is $50! 

So, it looks pretty cool but I’m not willing to waste that much money to find out what the premium features are like.",2,False,Catt Crowell,Overpriced,,US
