date,developerResponse,review,rating,isEdited,title,userName,Country
2023-02-03 14:29:12,,"Meh
Paid for analytics which provide huge gaps everyday- and aren’t tracking stressful times like winter night driving",2,False,Ai stress,Hi-stress?,CAN
2023-02-01 22:21:02,,I saw on a comment you wrote Jan 2 2023 it’s free . It’s not why lie? It’s not free at all. You either pay 23 or 89 or can’t use it at all.,1,False,Not free,bcbxbxbxbx,CAN
2023-02-01 02:23:09,,"Are you serous????? Not good, everyday same think. I will not renew! Thanks",1,False,"I tried my nickname, lit but all taken. I don’t like this I think is fake",Léninisme,CAN
2022-11-27 15:05:12,,J’avais besoin de changer plusieurs de mes habitudes pour des raisons de santé et Stress Monitor aide beaucoup à suivre le niveau de stress et la transformation acquise au fur et à mesure de l’adoption et de la pratique des nouvelles habitudes. Une app incontournable pour mieux comprendre la réaction psycho-physique de nos changements.,5,False,Parfait pour suivre nos changements d’habitudes,FYB_,CAN
2022-11-25 15:53:49,,I love this app! It's so useful :),5,False,Amazing App!,Steph_____o0o0o7015,CAN
2022-11-27 14:39:52,,Within a couple clicks you hit a paywall and app is stuck there.,1,False,Paywall,Milez5858,CAN
2022-07-10 12:51:32,,I would love to be able to use the app for a week or so (or even a few days) before buying a subscription. Is that possible?,4,False,A free trial would be great,Heathcliffe65,CAN
2022-11-08 06:17:09,,This app helps me to understand when I need to slow down and when I have a good focus. Easy to understand and complete,5,False,Fascinating,dottorwally,CAN
2022-11-07 15:55:05,,Sometimes it even captured stress that I am not aware of. A good reminder for you to relax and take a breath.,5,False,Great app!,doris_dodo,CAN
2022-11-06 16:09:54,,I've been using it for quite a long time. I love the way my Apple watch generates the information for my.iPhone. My doctor told me to monitor my blood pressure until my next appointment. A month later I showed him my results. He looked at my stats and discovered the problem with my blood pressure. It led to further testing and now my medications have been adjusted. Thank you Qardio!!,5,False,Stress Monitor,joworrall,CAN
2022-10-23 16:12:03,,"Today is now the third time my Apple Watch is on the charger and I get a notification telling me my stress level is high. Not sure how that happens. I also get stress notifications when I’m laying down relaxing and watching TV.  However when I’m on a stressful call this app tells me my stress level is great. 
Don’t bother with this it’s a complete waste",2,False,Doesn’t Work,AmIStressed,CAN
2022-08-21 02:09:37,"{'id': 31596861, 'body': 'Hi, thank you for your feedback. We’re happy to know that our app is helpful for you in managing stress! If you have any questions or suggestions how we can make the app better for you, please, feel free to contact us at dev@activeace.app.\n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-08-22T12:39:03Z'}",Its a best app for stress management,3,False,I m happy,akhtary jan,CAN
2022-08-13 13:14:01,"{'id': 31599886, 'body': 'Hi! Thank you for your positive review! It inspires us a lot when we receive positive feedback from our users. If you have any questions or suggestions on how we can make the app even better for you, please, feel free to contact us at dev@activeace.app.\n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-08-22T14:32:06Z'}",Total worth it,5,False,Amazing,Sharr.27,CAN
2022-06-23 13:27:51,"{'id': 30616596, 'body': 'Hi! We’re sorry, you are disappointed with the app. The app requests access to read your data to calculate your personal algorithm for monitoring stress. After this, you can use Stress Monitor App on the Apple Watch for free and see if it works for you. It also includes free Stress Monitor Watch Face and the notifications on your stress level. Best Wishes, Elena Strok, Founder of Stress Monitor App', 'modified': '2022-06-29T08:40:51Z'}",You can download for free but after the intro and a quick this was your week you have to subscribe to go any further.  $20 a month or a year for $40  Deleted the app   The initial information wasn’t enough to entice me.,1,False,Pay to use,Chasmn,CAN
2022-06-15 03:51:48,"{'id': 30619654, 'body': ""Hi! We don't want to confuse you in any way. Our main goal is to benefit our users by helping them understand their stress and learn how to increase the body's resistance to stressors. Please, feel free to contact us at dev@activeace.app if you have any questions. We’ll be happy to help.\n\nBest Wishes, \nElena Strok\nFounder of Stress Monitor App"", 'modified': '2022-06-29T10:53:43Z'}",No free trial even though it said free trial before buying app. Very confused.,1,False,No Free Trial,Influenya,CAN
2022-05-11 11:25:08,"{'id': 29910660, 'body': ""Hi! We are sorry you are disappointed with the app. \n\nThe review process is controlled by Apple, not the developer. As a developer, we can’t delete the review. \n\nAlso, let me provide a few details about the app:\nStress Monitor App on the Apple Watch is free for all users. It also includes free Stress Monitor complication for Watch Face and the notifications on your stress level. \n\nThe stress in the app is not only emotional or psychological but physical as well. Bad sleep last night, alcohol, exhausting workout can lower your body's resistance to stress the next day or longer. We recommend considering weekly trends to understand how your body copes with stress over time and identify dependencies, that can lead to lower or higher results. \n\nPlease, feel free to contact us if you have any other questions about the app and I’ll be happy to help. \n\nBest Wishes,\nElena Strok\nFounder of Stress Monitor App"", 'modified': '2022-05-23T12:09:43Z'}","I downloaded this app and there was no trial version so I left a review saying it’s not possible to leave a review on free version of app, I was given a week free trial and my review deleted, now have deleted app! It’s constantly telling me to relax that I’m stressed while I’m very relaxed and chill. Waste of my time don’t waste your money.",1,False,"Wast of time, inaccurate",YesB'y,CAN
2022-04-01 22:35:43,"{'id': 29286484, 'body': 'Hi! We are sorry you’ve faced the issue with the app. \nWe recommend restarting your Apple Watch to fix any sync issues. To do this, press and hold both the side button and Digital Crown for at least 10 seconds, then release both buttons when you see the Apple logo.\n\nIf it wouldn’t help, please, contact us at dev@activeace.app and we’ll do our best to find out and solve the issue. \nBest Wishes,\nElena Strok\nFounder of Stress Monitor App', 'modified': '2022-04-20T13:41:00Z'}",Information is not loading into the app. I have another person using this in the house and his works and mine will not upload anything unless Not even with ecg.,1,False,Upload issue,hdhcyjsks,CAN
2021-11-13 03:24:33,"{'id': 26258154, 'body': 'Hi! Our App calculates personal algorithm for monitoring stress and your stress highlights. In the iPhone app you’ll find deep dive analytics and premium features. If you are not sure about the subscription, you can continue to use our Stress Monitor App on your Apple Watch for free. If you have any questions about the app -please, feel free to contact us. Best Wishes, Elena', 'modified': '2021-11-14T18:16:55Z'}",Ties you to subscription and not able to cancel,1,False,Not letting you cancel,_OzzyTheGreat_,CAN
2021-08-01 22:29:04,"{'id': 24286757, 'body': 'Hello, \nThank you for sharing your opinion. \nLet me clarify this. Stress Monitor app considers the data that you have in your Apple Health for the last 30 days and sets up your personal baseline. So if you have a very low score in the app, that means that at this moment it’s lower (or significantly lower) than your baseline.\n\nPlease, note that the score in the app shows not only psychological stress but physical stress as well. So bad sleep last night, exhausting workouts, or even alcohol can affect your score and your readiness to resist stressors.  \n\nPlease, feel free to contact us if you have any questions or we haven’t covered this one, we’ll be glad to help. \nBest wishes, Stress Monitor team. ', 'modified': '2021-08-03T10:06:42Z'}",This app is telling me that im constantly in between 0-20 stress when im very relaxed. Do not pay for this scam,1,False,Inaccurate,Hsuwheyydhsiixbduirbsgsidb,CAN
